,CPILFESL
2021-06-01,277.651
2021-07-01,278.648
2021-08-01,278.997
2021-09-01,279.698
2021-10-01,281.668
2021-11-01,283.406
2021-12-01,285.18
2022-01-01,286.757
2022-02-01,288.273
2022-03-01,289.056
2022-04-01,290.514
2022-05-01,292.063
2022-06-01,294.05
2022-07-01,295.088
2022-08-01,296.535
2022-09-01,298.226
2022-10-01,299.399
2022-11-01,300.325
2022-12-01,301.394
2023-01-01,302.642
2023-02-01,304.123
2023-03-01,305.147
2023-04-01,306.534
2023-05-01,307.652
2023-06-01,308.322
2023-07-01,308.96
2023-08-01,309.58
2023-09-01,310.539
2023-10-01,311.457
2023-11-01,312.392
2023-12-01,313.195
2024-01-01,314.319
2024-02-01,315.564
2024-03-01,316.792
2024-04-01,317.649
2024-05-01,318.095
2024-06-01,318.39
2024-07-01,318.94
2024-08-01,319.75
2024-09-01,320.732
2024-10-01,321.731
2024-11-01,322.657
2024-12-01,323.259
2025-01-01,324.638
2025-02-01,325.465
2025-03-01,325.69
2025-04-01,326.467
2025-05-01,326.893
2025-06-01,327.658
2025-07-01,328.682
2025-08-01,329.7
2025-09-01,330.418
2025-11-01,331.043
2025-12-01,331.814
2026-01-01,332.793
2026-02-01,333.512
2026-03-01,334.165
2026-04-01,335.423
2026-05-01,336.121
